"city"	"geo_location"	"location"	"station"	"line"	"opened_month"	"opened_day"	"opened_year"	"lon"	"lat"
"128"	"Paris"	"La Muette, Paris, France"	"Paris, France"	"La Muette"	"9"	11	8	1922	2.2741282	48.8580698
"129"	"Paris"	"La Tour-Maubourg, Paris, France"	"Paris, France"	"La Tour-Maubourg"	"8"	7	13	1913	2.310538	48.857641
"130"	"Paris"	"Lamarck – Caulaincourt, Paris, France"	"Paris, France"	"Lamarck – Caulaincourt"	"12"	10	31	1912	2.338511	48.8896
"131"	"Paris"	"Laumière, Paris, France"	"Paris, France"	"Laumière"	"5"	10	12	1942	2.3794349	48.8849406
"132"	"Paris"	"Le Kremlin-Bicêtre, Le Kremlin-Bicêtre, France"	"Le Kremlin-Bicêtre, France"	"Le Kremlin-Bicêtre"	"7"	10	10	1982	2.362244	48.810287
"133"	"Paris"	"Le Peletier, Paris, France"	"Paris, France"	"Le Peletier"	"7"	6	6	1911	2.3402257	48.8749984
"134"	"Paris"	"Ledru-Rollin, Paris, France"	"Paris, France"	"Ledru-Rollin"	"8"	5	5	1931	2.376099	48.851264
"135"	"Paris"	"Les Agnettes, Gennevilliers, France"	"Gennevilliers, France"	"Les Agnettes"	"13"	6	14	2000	2.286189	48.923111
"136"	"Paris"	"Les Gobelins, Paris, France"	"Paris, France"	"Les Gobelins"	"7"	2	15	1930	2.3525275	48.8355325
"137"	"Paris"	"Les Halles, Paris, France"	"Paris, France"	"Les Halles"	"4"	4	21	1908	2.3447356	48.8623348
"138"	"Paris"	"Les Sablons, Neuilly-sur-Seine, France"	"Neuilly-sur-Seine, France"	"Les Sablons"	"1"	4	29	1937	2.272485	48.880936
"139"	"Paris"	"Liberté, Charenton-le-Pont, France"	"Charenton-le-Pont, France"	"Liberté"	"8"	10	5	1942	2.405805	48.82659
"140"	"Paris"	"Liège, Paris, France"	"Paris, France"	"Liège"	"13"	2	26	1911	2.326989	48.879647
"141"	"Paris"	"Louis Blanc, Paris, France"	"Paris, France"	"Louis Blanc"	"7, 7bis"	11	23	1910	2.365158	48.881203
"142"	"Paris"	"Louise Michel, Levallois-Perret, France"	"Levallois-Perret, France"	"Louise Michel"	"3"	9	24	1937	2.288158	48.888646
"143"	"Paris"	"Lourmel, Paris, France"	"Paris, France"	"Lourmel"	"8"	7	27	1937	2.281981	48.838601
"144"	"Paris"	"Louvre – Rivoli, Paris, France"	"Paris, France"	"Louvre – Rivoli"	"1"	8	13	1900	2.3409635	48.8607149
"145"	"Paris"	"Mabillon, Paris, France"	"Paris, France"	"Mabillon"	"10"	3	10	1925	2.335424	48.852886
"146"	"Paris"	"Madeleine, Paris, France"	"Paris, France"	"Madeleine"	"8, 12, 14"	11	5	1910	2.3189432	48.8705871
"147"	"Paris"	"Mairie d’Issy, Issy-les-Moulineaux, France"	"Issy-les-Moulineaux, France"	"Mairie d’Issy"	"12"	3	24	1934	2.273248	48.82412
"148"	"Paris"	"Mairie d’Ivry, Ivry-sur-Seine, France"	"Ivry-sur-Seine, France"	"Mairie d’Ivry"	"7"	5	1	1946	2.384329	48.810517
"149"	"Paris"	"Mairie de Clichy, Clichy, France"	"Clichy, France"	"Mairie de Clichy"	"13"	5	3	1980	2.305887	48.903387
"150"	"Paris"	"Mairie de Montreuil, Montreuil, France"	"Montreuil, France"	"Mairie de Montreuil"	"9"	10	14	1937	2.4417907	48.8621222
"151"	"Paris"	"Mairie de Montrouge, Montrouge, France"	"Montrouge, France"	"Mairie de Montrouge"	"4"	3	23	2013	2.31922	48.817889
"152"	"Paris"	"Mairie de Saint-Ouen, Saint-Ouen, France"	"Saint-Ouen, France"	"Mairie de Saint-Ouen"	"13"	6	30	1952	2.333844	48.912033
"153"	"Paris"	"Mairie des Lilas, Les Lilas, France"	"Les Lilas, France"	"Mairie des Lilas"	"11"	2	17	1937	2.416292	48.879792
"154"	"Paris"	"Maison Blanche, Paris, France"	"Paris, France"	"Maison Blanche"	"7"	3	7	1930	2.3488716	48.8246796
"155"	"Paris"	"Maisons-Alfort – Les Juilliottes, Maisons-Alfort, France"	"Maisons-Alfort, France"	"Maisons-Alfort – Les Juilliottes"	"8"	4	24	1972	2.429443	48.801148
"156"	"Paris"	"Maisons-Alfort – Stade, Maisons-Alfort, France"	"Maisons-Alfort, France"	"Maisons-Alfort – Stade"	"8"	9	19	1970	2.429443	48.801148
"157"	"Paris"	"Malakoff – Plateau de Vanves, Malakoff, France"	"Malakoff, France"	"Malakoff – Plateau de Vanves"	"13"	11	9	1976	2.298522	48.822574
"158"	"Paris"	"Malakoff – Rue Étienne Dolet, Malakoff, France"	"Malakoff, France"	"Malakoff – Rue Étienne Dolet"	"13"	11	9	1976	2.2977599	48.817275
"159"	"Paris"	"Malesherbes, Paris, France"	"Paris, France"	"Malesherbes"	"3"	5	23	1910	2.3091142	48.8831237
"160"	"Paris"	"Maraîchers, Paris, France"	"Paris, France"	"Maraîchers"	"9"	12	10	1933	2.406118	48.852696
"161"	"Paris"	"Marcadet – Poissonniers, Paris, France"	"Paris, France"	"Marcadet – Poissonniers"	"4, 12"	4	21	1908	2.349594	48.891554
"162"	"Paris"	"Marcel Sembat, Boulogne-Billancourt, France"	"Boulogne-Billancourt, France"	"Marcel Sembat"	"9"	2	3	1934	2.244819	48.833986
"163"	"Paris"	"Marx Dormoy, Paris, France"	"Paris, France"	"Marx Dormoy"	"12"	8	23	1916	2.359883	48.890718
"164"	"Paris"	"Maubert-Mutualité, Paris, France"	"Paris, France"	"Maubert-Mutualité"	"10"	2	15	1930	2.347854	48.8501498
"165"	"Paris"	"Ménilmontant, Paris, France"	"Paris, France"	"Ménilmontant"	"2"	1	31	1903	2.383286	48.8666797
"166"	"Paris"	"Michel Bizot, Paris, France"	"Paris, France"	"Michel Bizot"	"8"	5	5	1931	2.4023741	48.8371989
"167"	"Paris"	"Michel-Ange – Auteuil, Paris, France"	"Paris, France"	"Michel-Ange – Auteuil"	"9, 10"	9	30	1913	2.264208	48.847925
"168"	"Paris"	"Michel-Ange – Molitor, Paris, France"	"Paris, France"	"Michel-Ange – Molitor"	"9, 10"	9	30	1913	2.2616611	48.8451649
"169"	"Paris"	"Mirabeau, Paris, France"	"Paris, France"	"Mirabeau"	"10"	9	30	1913	2.272571	48.84706
"170"	"Paris"	"Miromesnil, Paris, France"	"Paris, France"	"Miromesnil"	"9, 13"	5	27	1923	2.3157762	48.8740138
"171"	"Paris"	"Monceau, Paris, France"	"Paris, France"	"Monceau"	"2"	10	7	1902	2.309039	48.880294
"172"	"Paris"	"Montgallet, Paris, France"	"Paris, France"	"Montgallet"	"8"	5	5	1931	2.3900407	48.8443145
"173"	"Paris"	"Montparnasse – Bienvenüe, Paris, France"	"Paris, France"	"Montparnasse – Bienvenüe"	"4, 6, 12, 13"	4	24	1906	2.322831	48.842944
"174"	"Paris"	"Mouton-Duvernet, Paris, France"	"Paris, France"	"Mouton-Duvernet"	"4"	10	30	1909	2.3297511	48.8313567
"175"	"Paris"	"Nation, Paris, France"	"Paris, France"	"Nation"	"1, 2, 6, 9"	4	2	1903	2.3949068	48.8487471
"176"	"Paris"	"Nationale, Paris, France"	"Paris, France"	"Nationale"	"6"	3	1	1909	2.362718	48.833189
"177"	"Paris"	"Notre-Dame-de-Lorette, Paris, France"	"Paris, France"	"Notre-Dame-de-Lorette"	"12"	11	5	1910	2.337784	48.87605
"178"	"Paris"	"Notre-Dame-des-Champs, Paris, France"	"Paris, France"	"Notre-Dame-des-Champs"	"12"	11	5	1910	2.328309	48.8477427
"179"	"Paris"	"Oberkampf, Paris, France"	"Paris, France"	"Oberkampf"	"5, 9"	1	15	1907	2.368675	48.864588
"180"	"Paris"	"Odéon, Paris, France"	"Paris, France"	"Odéon"	"4, 10"	1	9	1910	2.3386921	48.8498596
"181"	"Paris"	"Olympiades, Paris, France"	"Paris, France"	"Olympiades"	"14"	6	26	2007	2.366695	48.827012
"182"	"Paris"	"Opéra, Paris, France"	"Paris, France"	"Opéra"	"7, 8"	11	5	1910	2.3322168	48.8708714
"183"	"Paris"	"Ourcq, Paris, France"	"Paris, France"	"Ourcq"	"5"	3	21	1947	2.385749	48.886855
"184"	"Paris"	"Palais Royal – Musée du Louvre, Paris, France"	"Paris, France"	"Palais Royal – Musée du Louvre"	"1, 7"	7	19	1900	2.33603	48.862926
"185"	"Paris"	"Parmentier, Paris, France"	"Paris, France"	"Parmentier"	"3"	10	19	1904	2.3745569	48.8654334
"186"	"Paris"	"Passy, Paris, France"	"Paris, France"	"Passy"	"6"	11	6	1903	2.2855723	48.8577083
"187"	"Paris"	"Pasteur, Paris, France"	"Paris, France"	"Pasteur"	"6, 12"	4	24	1906	2.312681	48.842843
"188"	"Paris"	"Pelleport, Paris, France"	"Paris, France"	"Pelleport"	"3bis"	11	27	1921	2.401444	48.86833
"189"	"Paris"	"Père Lachaise, Paris, France"	"Paris, France"	"Père Lachaise"	"2, 3"	2	25	1903	2.3928087	48.8627872
"190"	"Paris"	"Pereire, Paris, France"	"Paris, France"	"Pereire"	"3"	5	23	1910	2.2979853	48.885391
"191"	"Paris"	"Pernety, Paris, France"	"Paris, France"	"Pernety"	"13"	1	21	1937	2.3181455	48.8339568
"192"	"Paris"	"Philippe Auguste, Paris, France"	"Paris, France"	"Philippe Auguste"	"2"	1	31	1903	2.3902603	48.8582736
"193"	"Paris"	"Picpus, Paris, France"	"Paris, France"	"Picpus"	"6"	3	1	1909	2.395174	48.8396211
"194"	"Paris"	"Pierre et Marie Curie, Ivry-sur-Seine, France"	"Ivry-sur-Seine, France"	"Pierre et Marie Curie"	"7"	5	1	1946	2.3773	48.815901
"195"	"Paris"	"Pigalle, Paris, France"	"Paris, France"	"Pigalle"	"2, 12"	10	7	1902	2.3372805	48.8821898
