city	location	station	line	opened
Paris	Paris, France	Cité	4	1/9/1910
Paris	Paris, France	Cluny – La Sorbonne	10	2/15/1930
Paris	Paris, France	Colonel Fabien	2	1/31/1903
Paris	Paris, France	Commerce	8	7/27/1937
Paris	Paris, France	Concorde	1, 8, 12	8/13/1900
Paris	Paris, France	Convention	12	11/5/1910
Paris	Paris, France	Corentin Cariou	7	11/5/1910
Paris	Issy-les-Moulineaux, France	Corentin Celton	12	3/24/1934
Paris	Paris, France	Corvisart	6	4/24/1906
Paris	Paris, France	Cour Saint-Émilion	14	10/15/1998
Paris	Paris, France	Courcelles	2	10/7/1902
Paris	Paris, France	Couronnes	2	1/31/1903
Paris	Créteil, France	Créteil – L’Échat	8	9/24/1973
Paris	Créteil, France	Créteil – Préfecture	8	9/9/1974
Paris	Créteil, France	Créteil – Université	8	9/9/1974
Paris	Paris, France	Crimée	7	11/5/1910
Paris	Montreuil, France	Croix de Chavaux	9	10/14/1937
Paris	Paris, France	Danube	7bis	1/18/1911
Paris	Paris, France	Daumesnil	6, 8	3/1/1909
Paris	Paris, France	Denfert-Rochereau	4, 6	4/24/1906
Paris	Paris, France	Dugommier	6	3/1/1909
Paris	Paris, France	Dupleix	6	4/24/1906
Paris	Paris, France	Duroc	10, 13	12/30/1923
Paris	Paris, France	École Militaire	8	7/13/1913
Paris	Maisons-Alfort, France	École Vétérinaire de Maisons-Alfort	8	9/19/1970
Paris	Paris, France	Edgar Quinet	6	4/24/1906
Paris	Paris, France	Église d’Auteuil	10	9/30/1913
Paris	Pantin, France	Église de Pantin	5	10/12/1942
Paris	Puteaux, France	Esplanade de La Défense	1	4/1/1992
Paris	Paris, France	Étienne Marcel	4	4/21/1908
Paris	Paris, France	Europe	3	10/19/1904
Paris	Paris, France	Exelmans	9	11/8/1922
Paris	Paris, France	Faidherbe – Chaligny	8	5/5/1931
Paris	Paris, France	Falguière	12	11/5/1910
Paris	Paris, France	Félix Faure	8	7/27/1937
Paris	Paris, France	Filles du Calvaire	8	5/5/1931
